,PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD
0,Austin Ekeler,LAC,3.74,25,3.3,12,58,4.8,1
1,Todd Gurley,LAR,2.98,--,2.7,14,97,6.9,0
2,Tony Pollard,DAL,7.59,7.69,3.33,13,24,1.8,0
3,Carlos Hyde,HOU,2.62,--,2.98,10,83,8.3,0
4,Derrick Henry,TEN,4.26,42.11,2.87,19,84,4.4,1
5,Mark Ingram,BAL,2.51,14.29,2.49,14,107,7.6,2
6,Kerryon Johnson,DET,4.31,56.25,2.83,16,49,3.1,0
7,Damien Williams,KC,6.12,7.69,2.69,13,26,2,1
8,Ezekiel Elliott,DAL,4.43,7.69,2.95,13,53,4.1,1
9,Marlon Mack,IND,2.83,4,2.87,25,174,7,1
10,Alvin Kamara,NO,3.06,7.69,2.83,13,97,7.5,0
11,Sony Michel,NE,14.9,--,2.6,15,14,0.9,0
12,Christian McCaffrey,CAR,2.42,26.32,2.39,19,128,6.7,2
13,Saquon Barkley,NYG,1.94,36.36,3.05,11,120,10.9,0
14,Derrius Guice,WAS,8.8,10,2.59,10,18,1.8,0
15,Ronald Jones,TB,2.68,7.69,2.44,13,75,5.8,0
16,LeSean McCoy,KC,2.1,--,2.57,10,81,8.1,0
17,David Johnson,ARI,3.96,--,2.86,18,82,4.6,0
18,Matt Breida,SF,7.1,20,2.89,15,37,2.5,0
19,Chris Carson,SEA,4.96,6.67,2.86,15,46,3.1,1
20,Phillip Lindsay,DEN,4.18,27.27,2.94,11,43,3.9,0
21,Frank Gore,BUF,6.11,18.18,2.74,11,20,1.8,0
22,Gus Edwards,BAL,3.64,11.76,2.37,17,56,3.3,0
23,Aaron Jones,GB,5.25,--,2.65,13,39,3,0
24,Dalvin Cook,MIN,3.41,47.62,2.79,21,111,5.3,2
25,Le'Veon Bell,NYJ,3.79,5.88,2.9,17,60,3.5,0
26,Leonard Fournette,JAX,3.43,15.38,2.72,13,66,5.1,0
27,Nick Chubb,CLE,3.48,--,2.71,17,75,4.4,0
28,Josh Jacobs,OAK,3.62,26.09,2.25,23,85,3.7,2
29,Miles Sanders,PHI,7.83,27.27,2.53,11,25,2.3,0
30,Royce Freeman,DEN,3.33,--,3.04,10,56,5.6,0
31,C.J. Anderson,DET,4.37,72.73,2.69,11,35,3.2,0
32,Malcolm Brown,LAR,3.11,9.09,2.66,11,53,4.8,2
33,James Conner,PIT,7.9,--,3.2,10,21,2.1,0
